hscode,hsdesc,latest_export_usd_mn,growth_5yr_pct,cagr_pct,volatility_pct,momentum_score
8429,SLF,1768.69,100.17,18.95,3.80,91.94
8481,"TAPS, COCKS, VALVES AND SIMILAR APPLIANCES FOR PIPES, BOILER SHELLS, TANKS, VATS OR THE LIKE, INCLUDING PRESSURE",2839.55,80.50,15.91,2.92,90.33
8544,"INSULATED (INCL ENAMELLED OR ANODISED) WIRE, CABLE (INCL CO",2871.34,106.15,19.82,7.10,89.51
8537,"BORDS PANLS ETC EQUIPD WTH TWO OR MORE    APPRTS OF HDG 8535/8536,INCL THOSE        INCORPRTNG INSTRMNTS/APPRTS OF CH 90",1124.24,102.11,19.23,3.22,89.46
2101,"EXTRTS ESSNCS AND CNCNTRTS OF COFFE TEA/    MATEAND THR PRPN;RSTD CHICORY AND OTHR RSTD   COFFE SUBSTITUTS,EXTRCTS,ESSNC",825.17,99.08,18.78,4.12,86.98
8415,"AIRCONDTNG MCHNS,CMPRSNG MOTR",540.09,131.08,23.29,4.36,85.74
8517,"ELCTRCL APARTS FR LINE TELEPHNY/TELGRPHY, INCL TELPHON SETS WTH CORDLS HANDSET      CARIER",33759.21,374.56,47.60,18.57,84.40
2106,OTHR FOOD PREPRNS N.E.S.,957.97,60.48,12.55,5.13,82.47
8538,"PRTS SUITBL FR USE SOLELY/PRINCIPALLY WTH THE APPRTS OF HDG NO.8535,8536/8537",1584.39,86.26,16.82,10.87,82.17
8703,MOTR CARS AND OTHR MOTR VHCLS FR TRNSPRT OF PERSONS(EXCL OF 8702)INCL RCNG CARS ETC,9040.19,52.52,11.13,9.21,81.94
8536,ELCTRCLS APPRTS FR SWTCHNG/PRTCTNG ELCTRCLCIRCUITS ETC.(E.G.SWTCHS RELAYS ETC.)     FOR A VOLTAGE NOT EXCDG 1000 VOLTS,1517.26,49.93,10.66,6.59,81.91
1905,"BREAD, PASTRY, CAKES, BISCUITS AND OTHER  BAKERS WARES, WHETHER OR NOT CONTAINING  COCOA; COMMUNION WAFERS, EMPTY CACHE",685.90,66.10,13.53,4.37,81.48
8431,PRTS SUITBL FR USE SOLELY/PRNCPLY WTH THE MCHNRY OF HDGS.NOS.8425 TO 8430,1507.50,44.74,9.68,6.32,81.07
0202,"MEAT OF BOVINE ANIMALS, FROZEN",4612.90,57.15,11.96,10.48,80.85
8483,TRNSMSN SHFTS AND CRNKS;GEARS;BALL SCREWS;  BEARING HOUSING ANDOTHR PLAIN SHFT BEARINGS SPD CHNGRS INCL TORQUE CNVRTRSFF,2242.11,30.93,6.97,2.95,80.80
8504,"ELECTRICAL TRANSFORMERS, STATIC CONVERTERS (FOR EXAMPLE, RECTIFIERS) AND INDUCTORS",3199.92,42.58,9.27,7.81,80.45
3002,"HUMN,ANML,BLD FR MDCNL USE; MDFD IMUNLGCL PRDT W/N_BITECH PRCS;VCCNS,TXNS,CLTR_MCRGNSM,ETHER SMLR P; CELL CLTR ,W/N MDFD",2246.68,53.57,11.32,9.84,80.20
8413,"PUMPS FOR LIQUIDS, WHETHER OR NOT FITTED  WITH A",1604.83,32.99,7.39,3.63,80.18
9018,"INSTRMNTS AND APPLNCS USED IN MDCL,SURGCL,  DNTL/VTRNRY SCNCS,INCL SCNTGRPHC APPRTS   ELCTRO",1500.84,37.50,8.29,5.70,79.69
8501,ELCTRC MOTRS AND GENRTRS(EXCL GENRTNG SETS),902.10,41.72,9.11,4.01,79.59
3004,"MDCMNTS (EXCL ITMS OF 3002,3005 / 3006)   FR THRPUTC/PRPHYLCTC USES IN MEASURD      DOSESOR IN PCKNGS FR RTL SALE",21866.01,28.00,6.37,5.58,79.26
8411,TURBO,5672.06,74.51,14.94,15.23,79.21
8708,PARTS AND ACCESSORIES OF THE MOTOR        VEHICLES OF HEADINGS 8701 TO 8705,7642.94,21.98,5.09,2.28,78.70
2401,UNMANUFACTURED TOBACCO; TOBACCO REFUSE,1367.28,139.71,24.43,20.41,78.38
2818,"ARTIFICIAL CORUNDUM, WHETHER OR NOT       CHEMICALLY DEFINED; ALUMINIUM OXIDE;      ALUMINIUM HYDROXIDE",1700.55,158.55,26.81,28.77,78.21
2921,AMINE,1212.54,63.44,13.07,10.17,78.16
8419,"MCHNRY,PLNT/LABORATORY EQPMNT,W/N ELCTRCLYHEATD,FR HEATNG,COOKNG,ETC,EXCL MCHNRY FR DOMSTC PURPS;STORG WTR HEATRS,NON",1390.14,75.40,15.08,13.58,78.09
0901,"COFFEE, WHETHER OR NOT ROASTED OR         DACAFFEINATED; COFFEE HUSKS AND SKINS;    COFFEE SUBSTITUTES CONTAINING COFFEE",1405.88,99.64,18.87,18.05,77.68
8901,"CRUISE SHIPS, EXCURSION BOATS , FERRY",1639.03,291.63,40.68,61.58,77.28
8409,PARTS SUITABLE FOR USE SOLELY OR          PRINCIPALLY WITH THE ENGINES OF HEADING   8407 OR 8408,1760.38,20.63,4.80,1.07,76.84
8421,"CENTRIFUGES, INCLUDING CENTRIFUGAL DRYERS; FILTERING OR PURIFYING MACHINERY AND     APPARATUS, FOR LIQUIDS OR GASES",1186.94,36.77,8.14,6.50,76.70
3602,PRPD EXPLOSIVES OTHR THN PROPELLENT PWDRS,261.53,568.77,60.81,9.33,76.60
7801,UNWROUGHT LEAD,1260.90,135.68,23.90,27.00,76.33
8503,PARTS SUITABLE FOR USE SOLELY OR          PRINCIPALLY WITH THE MACHINES OF HEADING  8501 OR 8502,1425.97,70.10,14.20,15.30,76.32
3302,MXTR/SLTN OF ODORFRS SBSTNS OF A KIND USD AS RAW MTRL IN INDSTRY AND PRPRTN FR MNFCTR OF BEVRGS,538.52,42.83,9.32,4.69,76.16
7305,"OTHR TUBESANDPIPES,(E.G.WELDED,RIVETED ETC) HAVNG CIRCLR CRS SCTN,THE EXTRNL DIAMETR  OF WHCH EXCDS 406.4MM, OF IRON/STL",1016.66,282.51,39.85,33.01,76.11
9021,"ORTHPDC APLNCS,ARTFCL PRTS OF TH BODY;HRNGAIDS AND OTHR APLNCS WHCH ARE WRN/CRRD/     IMPLNTD IN THE BODY TO CMPNST DFCT",493.22,133.06,23.56,13.09,76.05
0902,TEA,898.82,31.24,7.03,4.22,75.85
8479,"MCHNS AND MCHNCL APPLNCS HVNG INDVDL        FUNCTNS,N.E.S.",1320.11,26.58,6.07,5.46,75.68
7113,ARTCLS OF JEWELLERY AND PRTS THEREOF; OF    PRCS MTL/OF MTL CLD WTH PRECIOUS METAL,13276.62,20.77,4.83,6.25,75.49
8414,"AIR/VACUUM PUMPS,AIR/OTHR GAS COMPRSRS AND  FANS;VNTLTNG/RCYCLNG HOODS INCRPRTNG A    FAN,W/N FITTED WITH FILTERS",1480.97,22.78,5.26,4.43,75.43
8471,AUTOMATIC DATA PROCESSING MACHINES AND    UNITS,1074.61,383.91,48.32,50.20,75.31
7010,"CARBOYS,BOTLS,FLSKS,JARS ETC FOR CNVYANCE OR PCKNG OF GOODS; PRSRVNG JARS OF GLASS; STOPERS,LIDS AND OTHR CLOSRS  OF GLA",463.56,46.19,9.96,5.48,75.28
2803,CARBON (CARBON BLACKS AND OTHER FORMS OF  CARBON NOT ELSEWHERE SPECIFIED OR         INCLUDED),498.87,69.88,14.17,9.06,75.11
7408,COPPER WIRE,999.44,599.65,62.64,90.24,74.97
8541,"SEMCOND DVS[SCD]( DIOD,TRNSTR,TRNSDCER); P SENST [SCD],P VOLT IF WITH MDL/ OF PNEL, LED,IF WITH LED;MTD PIEZO",1206.13,536.02,58.81,210.22,74.97
0713,DRID LEGUMINOUS VEG SHLD W/N SKINNED/SPLIT,969.58,154.96,26.36,28.53,74.91
2716,ELECTRICAL ENERGY,1368.26,128.30,22.92,40.68,74.78
4823,"OTHER PAPER, PAPERBOARD, CELLULOSE WADDING AND WEBS OF CELLULOSE FIBERS, CUT TO SIZE OR SHAPE; OTHER ARTICLES OF PAPERPU",660.94,32.83,7.35,3.37,74.68
3811,ANTI,417.12,80.90,15.97,9.32,74.58
7307,"TUBE OR PIPE FITTINGS (FOR EXAMPLE,       COUPLINGS, ELBOW SLEEVES), OF IRON OR     STEEL",1152.21,36.77,8.14,8.48,74.43
9306,"PARTS AND ACCESSORIES OF OTER FIREARMS OF WAR AND PRTS THROF; CARTRDGSANDOTHR AMNTNS AND PRJCTLS AND PRTS,INCL SHOT AND",683.48,1212.08,90.32,44.59,73.75
8906,"OTHER VESSELS, INCLUDING WARSHIPS AND     LIFEBOATS OTHER THAN ROWING BOATS",908.48,242.24,36.01,52.41,73.61
0803,"BANANAS, INCLUDING PLAINTAINS, FRESH OR   DRIED",496.04,209.02,32.59,20.34,73.27
4819,"CARTONS, BOXES, CASES, BAGS AND OTHER     PACKING CONTAINERS, OF PAPER, PAPERBOARD, CELLULOSE WADDING OR WEBS OF CELLULO",353.35,43.29,9.41,4.28,72.99
8535,"ELCTRCL APPRTS FR SWTCHNG/PROTCTNG ELCTRCLCIRCUITS ETC.(E.G. SWTCHS,FUSES,LIGHTNING ARRESTERS ETC)FR A VLTG EXCDG 1000 V",328.90,60.98,12.64,6.37,72.97
8711,"MOTORCYCLES (INCLUDING MOPEDS) AND CYCLES FITTED WITH AN AUXILIARY MOTOR, WITH OR   WITHOUT SIDE",3982.74,33.41,7.47,12.33,72.75
8474,"MCHNRY FR SORTNG,SCRENG,SEPARTNG,WASHNG,  CRSHNG ETC OF MNRL SUBSTNCS,IN SOLID FORM MCHNS FR SHPNG MNRL FUELANDFRMNG MLD",953.44,39.48,8.68,10.08,72.74
9031,"MEASURING OR CHECKING INSTRUMENTS,        APPLIANCES AND MACHINES, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS",379.86,58.78,12.25,7.63,72.70
9026,"INSTRMNTS AND APRTS FR MSRNG/CHKNG THE FLOW,LEVL,PRSR/OTHR VARIABLES OF LIQUID/GASES  EXCL APPRTS OF HDG 9014,9015,9028/",362.34,45.14,9.76,5.62,72.50
8714,PRTS AND ACCSSRS OF VHCLS OF HDG 8711,1268.72,28.96,6.57,8.52,72.41
8407,SPARK,599.76,35.74,7.94,6.77,71.97
4011,"NEW PNEUMATIC TYRES, OF RUBBER",3090.16,8.78,2.13,3.64,71.90
2403,OTHR MNFRD TOBACO AND MNFRD TOBACO          SUBSTTUTSHOMOGENISED OR RECONSTITUED      TOBACCO       TOBACCO EXTRACTS AND,446.56,67.12,13.70,10.62,71.89
8511,ELCTRCL IGNTN/STRTNG EQPMNT FR SPRK,475.96,33.87,7.56,5.10,71.80
1302,VEG SAPS AND EXTRCTS;PECTC SUBSTNCS PECTNATSPECTTS;AGAR,1106.04,30.82,6.95,8.70,71.75
7308,STRUCTRS(EXCL PREFABRICTD BLDNGS OF HDG   NO.9406)AND PARTS E.G.BRIDGES ROOFS DOORS   TUBES ETC USED IN STRUCTRS OF IRON,1752.74,29.66,6.71,11.36,71.69
2932,HTRCYCLC CMPNDS WTH OXYGN HTR,436.65,43.87,9.52,7.22,71.68
2309,PREPARATIONS OF A KIND USED IN ANIMAL     FEEDING,494.90,45.88,9.90,9.35,71.28
3912,"CELLULOSE AND ITS CHEMICAL DERIVATIVES,   NOT ELSEWHERE SPECIFIED OR INCLUDED, IN   PRIMARY FORMS",213.91,77.55,15.43,5.94,70.85
3402,ORGNC SURFACE,643.56,23.46,5.41,4.42,70.61
2004,"OTHER VEGETABLES PREPARED OR PRESERVED    OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN, OTHER THAN PRODUCTS OF HEADI",341.54,235.32,35.32,20.25,70.12
9032,AUTMTC REGLTNG/CONTRLNG INSTRMNTS AND APRTS,547.08,77.66,15.45,17.22,69.96
2301,"FLOURS, MEALS AND PELLETS, OF MEAT OR MEAT OFFAL, OF FISH OR OF CRUSTACEANS,        MOLLUSCS OR OTHER AQUATIC INVERTEBRA",507.73,442.33,52.60,110.24,69.87
2001,VEG FRUTS NUTS AND OTHR EDBL PRTS OF PLNTS  PRPD/PRSVD BY VINEGAR/ACETIC ACID,313.25,51.59,10.96,7.63,69.71
4016,OTHER ARTICLES OF VULCANISED RUBBER OTHER THAN HARD RUBBER,719.96,20.54,4.78,5.34,69.65
8443,"PRINTNG MACHNRY,INCL INK",257.12,90.37,17.46,10.55,69.39
8473,"PARTS AND ACCESSORIES OTH THN COVERS, CARRYING CASES)SUITABLE FOR USE SOLELY /PRINCIPALLY WITH MACHINES OF HDG 8470 TO 8472",524.02,96.83,18.45,24.47,69.39
1704,SUGR CNFCTNRY (INCL WHTE CHCLT)WTHOT COCOA,283.45,84.32,16.52,10.62,69.35
2930,ORGANO,524.20,106.73,19.91,35.52,69.10
8408,COMPRESSION,1378.01,9.51,2.30,5.11,68.98
3802,ACTVTD CRBN,577.93,85.98,16.78,24.36,68.86
2103,"SAUCES AND PREPARATIONS THEREFOR, MIXED   CONDIMENTS AND MIXED SEASONINGS; MUSTARD  FLOUR AND MEAL AND PREPARED MUSTARD",150.67,90.19,17.44,5.95,68.80
4901,"PRINTED BOOKS, BROCHURES, LEAFLETS AND    SIMILAR PRINTED MATTER, WHETHER OR NOT IN SINGLE SHEETS",349.47,29.39,6.65,4.25,68.32
6907,"CERAMIC FLGS AND PAVING,HEARTH OR WALL TLS CERAMIC MOSAIC CUBES AND LIKE, WHETHER OR NOT ON A BACKING; FINISHING CERAMICS",2122.69,24.05,5.53,13.81,68.29
1006,RICE,11537.35,19.30,4.51,12.36,68.28
7605,ALUMINIUM WIRE,722.80,83.45,16.38,36.97,68.25
9401,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF",345.37,31.52,7.09,5.27,68.05
8422,"DISH WASHING MACHINES; MACHINERY FOR      CLEANING OR DRYING BOTTLES OR OTHER       CONTAINERS; MACHINERY FOR FILLING, C",293.91,38.54,8.49,6.02,67.67
7318,"SCRWES,BOLTS,NUTS,COACHSCREWS,SCREW HOOKS RIVETS,COTTERS,COTTER",864.35,10.82,2.60,4.35,67.60
4203,"ARTICLES OF APPAREL AND CLOTHING          ACCESSORIES, OF LEATHER OR OF COMPOSITION LEATHER",782.96,10.42,2.51,3.94,67.28
2924,CRBOXYAMIDE,853.67,40.80,8.93,17.03,67.11
8472,"OTHER OFFICE MACHINES (FOR EXAMPLE,       HECTOGRAPH OR STENCIL DUPLICATING         MACHINES, ADDRESSING MACHINES, AUTOM",394.75,88.47,17.17,21.15,67.01
2008,"FRUITS NUTS AND OTHER EDIBLE PARTS OF       PLANTSOTHRWISE PREPD/PRSVD, W/N SWEETND N.E.S.",365.96,103.85,19.49,25.41,66.95
2208,"UNDNATRD ETHYL ALCHL WTH<80% ALCHL        STRNGTH;SPRTS ,LIQRS AND OTHR SPRTOUS BVRGS;COMPND ALCHL PRPN FOR MNUFCTRE OF",261.49,55.32,11.64,8.77,66.94
0908,"NUTMEG, MACE AND CARDAMOMS",480.21,104.55,19.59,48.01,66.82
6204,"WOMENS OR GIRLS SUITS, ENSEMBLES,       JACKETS, BLAZERS, DRESSES, SKIRTS, DIVIDED SKIRTS, TROUSERS, BIB AND BRACE OVE",3066.08,8.69,2.11,8.47,66.71
4202,"TRUNKS, SUIT",1591.18,6.30,1.54,6.59,66.54
3303,PERFUMES AND TOILET WATERS,285.48,112.34,20.71,19.17,66.38
8428,"OTHER LIFTING, HANDLING, LOADING OR       UNLOADING MACHINERY (FOR EXAMPLE, LIFTS,  ESCALATORS, CONVEYORS, TELEFERICS)",365.57,82.66,16.26,18.55,66.34
2935,SULPHONAMIDES,368.52,20.82,4.84,3.75,66.25
8702,PUBLIC,305.86,155.18,26.39,27.17,66.24
7326,OTHER ARTICLES OF IRON OR STEEL,1390.78,3.99,0.98,5.63,65.91
9022,OTHR APPLINCES OF 9021 BTA/GMAOR OTHR IONISING  RADITIONS INCL RADIOTHRPY APPRTS X,391.44,18.40,4.31,2.35,65.83
8207,INTRCHANGBL TOOLS FOR HND TOOLS W/N POWR  OPERATD OR FOR MACHIN TOOL(E.G.FOR PRESNG STAMPING ETC.)DIES FR DRILNG/BORNG T,365.00,23.58,5.43,5.46,65.68
8418,"RFRGRTRS,FRZRS AND OTHR RFRGRTNG/FRZNG      EQPMNT,ELCTRC/OTHR;HT PUMPS EXCL AIR      CONDTNG MCHNS OF HDG NO.8415",356.94,49.91,10.65,13.10,65.60
2937,"HORMONES, PROSTAGLANDINS, THROMBOXANES AND LEUKOTRIENES, NATURAL OR REPRODUCED BY   SYNTHESIS; DERIVATIVES AND STRCTRAL",328.97,26.87,6.13,5.64,65.49
2501,SALT (INCL TABLE SALT AND DENATRD SALT) AND   PURE SODIM CHLRDE W/N AQS SOLN SEA WTR,388.14,89.11,17.27,29.95,65.39
3824,"PRPD BNDRS FR FOUNDRY MOULDS/CORES,CHMCL  PRDCTS AND PRPNS,RESDUAL PRDCTS OF CHMCL    OR ALLIED INDUSTRIES N.E.S.",461.23,22.76,5.26,6.78,65.36
7616,OTHER ARTICLES OF ALUMINIUM,515.07,14.29,3.39,4.58,65.28
0712,"DRIED VEGETABLES, WHOLE, CUT, SLICED,     BROKEN OR IN POWDER, BUT NOT FURTHER      PREPARED",309.96,51.79,11.00,12.22,65.14
3923,ARTCLS FOR THE CNVYNCE/PCKNG OF GOODS     STOPRS LIDS CAPS AND OTHR CLSRS OF PLSTCS,1208.66,7.16,1.74,6.47,64.97
7411,COPPER TUBES AND PIPES,135.67,69.97,14.18,6.12,64.96
2939,ALKLDS NATRL/RPRDCD BY SYNTHSIS AND   THR SLTS ETHRS ESTRS AND OTHR DRVTVS,379.59,34.79,7.75,9.79,64.94
3822,"DIAG./LAB REAGNT ON A BCKNG,PRPRD DIAG./LAB REAGNTS WH/NOT ON BACKNG ,WHTR OR NT IN THE FORM OF  KIT EXCL HDNG 3006,",243.93,30.74,6.93,3.88,64.85
7404,COPPER WASTE AND SCRAP,318.46,155.38,26.41,45.30,64.83
2934,"MUCIEIC ACIDS AND THEIR SALTS W/N CHEMICALLYDEFINED , OTHER",887.71,24.93,5.72,13.01,64.79
8484,"GASKETS AND SMLR JOINTS OF MTL SHTNG CMBND  WTH OTHR MTRL;SETS/ASSRTMNTS OF GSKTS AND   SMLR JOINTS,PUT UP IN POUCHES,EN",194.75,45.06,9.75,6.15,64.50
7607,ALMNM FOIL(W/N PRNTD/BCKD WTH PAPR        PAPRBOARD,342.88,99.72,18.88,35.13,64.47
3307,SHAVING/PRE AND AFTER SHAVE PRPNS BATH PRPN DEPILATRS AND OTHR PERFMRY COSMTC/TOILT PRPNPRPN NES;PRPD ROOM DEODORISERS W,336.67,39.23,8.63,10.49,64.42
7222,"OTHER BARS AND RODS OF STAINLESS STEEL;   ANGLES, SHAPES AND SECTIONS OF STAINLESS  STEEL",1119.22,0.32,0.08,2.53,64.35
8518,"MCROPHONESANDSTNDS THRFR;LOUDSPKR,W/N MNTD  HEADPHONE,EARPHONE AND COMBND MCROPHONE/SPKRSETS;AUDIO FRQNCY AMPLFYR;SND AM",269.78,427.09,51.52,57.86,64.31
0910,"GINGER, SAFFRON, TURMERIC (CURCUMA),      THYME, BAY LEAVES, CURRY AND OTHER SPICES",722.52,33.59,7.51,16.29,64.31
1515,"OTHR FIXD VEGETABLE OR MICROBIAL FATS AND OILS(INCL JOJOBA OIL)AND THEIR FRCTNS,WHTHR OR NOT REFND,BUT NOT CHEMCLY MODFD",1270.07,7.99,1.94,8.02,64.14
5911,"TEXTILE PRODUCTS AND ARTICLES, FOR        TECHNICAL USES, SPECIFIED IN NOTE 8 TO    THIS CHAPTER",95.30,71.99,14.52,2.74,63.96
8402,STM/OTHR VAPR GNRTNG BOILRS(EXCL CNTRL    HTNG HOT WATER BOILRS CPBL ALSO OF PRDCNG LOW PRESSURE STEAM);SUPER,277.19,79.49,15.75,17.02,63.77
7224,OTHER ALLOY STEEL IN INGOTS OR OTHER      PRIMARY FORMS; SEMI,246.53,1468.53,99.01,168.47,63.39
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN",103.13,72.05,14.53,4.81,63.35
2933,HETEROCYCLIC COMPOUNDS WITH NITROGEN,4363.38,13.72,3.27,15.84,63.23
8543,"ELCTRCL MCHNS AND APPRTS,HVNG INDIVIDUAL    FNCTNS N.E.S.IN THIS CHAPTER",278.14,88.93,17.24,22.15,63.16
7112,WSTANDSCRP OF PRECS MTL/MTL CLD WTH PRECS METL;WSTANDSCRP CONT PRECS MTL/MTL CMPND FR RCVRY PRECS MTL OTH THAN GOODS OF 8549,351.21,106.04,19.81,91.29,63.14
4811,"PAPR PAPRBORD CELULOSE WADING AND WEBS OF CELULOSE FIBRS COATD IMPRGNTD ETC OTHR THNHDNG 4803,4809,4810",306.47,36.59,8.11,9.97,63.13
8438,"MCHNRY,N.E.S.,FR INDSTRL PRPTN/MNFCTR OF  FOOD/DRNK,EXCL MCHNRY FR EXTRCTN/PRPRTN OFANML/FXD VGTBL FATS/OILS",264.69,54.92,11.56,12.96,63.11
7108,GOLD(INCL GOLD PLTD WTH PLTNM)UNWROUGHT   OR IN SEMI MNFCTRD FORMS/IN PWDR FORM,242.55,3793.81,149.80,938.34,62.96
0303,FISH FROZEN EXCLUDING FISH FILLETS AND      OTHER FISH MEAT OF HEADING NO 0304,621.06,41.62,9.09,22.96,62.93
1209,"SEEDS, FRUIT AND SPORES, OF A KIND USED   FOR SOWING",165.71,46.21,9.96,6.58,62.79
2815,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM,335.94,87.50,17.02,36.67,62.65
0307,"MOLUSCS W/N IN SHL ,LIVE,FRSH,CHLD,FRZN,DRIED,SLTD/INBRINE;SMKD MOLUSCS W/N IN SHL,W/N CKD BEFORE OR DURING SMKNG PROCSS",930.27,25.47,5.84,17.03,62.65
1508,GROUND,248.40,523.25,58.00,218.60,62.62
5515,OTHER WOVEN FABRICS OF SYNTHETIC STAPLE   FIBRES,415.35,16.70,3.94,6.45,62.46
0407,"BIRDS EGGS, IN SHELL, FRESH, PRESERVED OR COOKED",212.32,535.56,58.78,50.63,62.45
7203,"FERUS PRDCTS FROM DIRECT REDUCTN OF IRON  ORE AND OTHR SPNGY FERS PRDCTS IN LMPS,PLLTSETC; >=99.94% PURE IRON BY WT IN L",471.85,39.46,8.67,17.37,62.43
3925,"BUILDERS  WARE OF PLASTICS, NOT ELSEWHERE SPECIFIED OR INCLUDED",96.10,104.64,19.60,8.52,62.37
5007,WOVEN FABRICS OF SILK OR OF SILK WASTE,216.89,166.67,27.79,34.33,62.33
8477,"MCHNR FR WRKNG RUBBR/PLSTCS/FR THE MNFCTR OF PRDCTS FROM THESE MTRLS,N.E.S.",396.57,10.70,2.57,4.06,62.32
0501,"HUMAN HAIR, UNWORKED, WHETHER OR NOT      WASHED OR SCOURED; WASTE OF HUMAN HAIR",286.99,65.52,13.43,17.40,62.21
8807,"PARTS OF GOODS OF HEADING 8801,8802 OR 8806",1553.91,0.00,0.00,7.25,62.01
6106,"WOMENS OR GIRLS BLOUSES, SHIRTS AND     SHIRT",183.96,35.94,7.98,5.53,62.00
8482,BALL OR ROLLER BEARINGS,813.23,2.80,0.69,5.62,61.98
8307,FLXBL TUBNG OF BSE METL WTH/WTHOUT FTNGS,113.78,59.26,12.34,5.83,61.75
7325,OTHER CAST ARTICLES OF IRON OR STEEL,1249.84,-4.25,-1.08,4.71,61.74
1806,CHOCOLATE AND OTHER FOOD PREPARATIONS     CONTAINING COCOA,186.88,55.27,11.63,10.13,61.68
2941,ANTIBIOTICS,912.88,16.51,3.89,12.71,61.48
1207,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS,    WHETHER OR NOT BROKEN",545.63,15.44,3.65,8.72,61.48
4009,"TUBES, PIPES AND HOSES, OF VULCANISED     RUBBER OTHER THAN HARD RUBBER, WITH OR    WITHOUT THEIR FITTINGS (FOR EXAMPLE,",275.57,23.67,5.45,6.32,61.27
6206,"WOMENS OR GIRLS BLOUSES, SHIRTS AND     SHIRT",1020.02,3.93,0.97,7.92,61.25
8525,"TRNSMISN APARATS FR RADIO,TELEPHNY ETC    W/N INCRPRTNG RECEPTION APPRTS/SOUND      RECORDING/REPRDCNG APPRTS;TV CAMERAS",214.34,181.12,29.49,42.11,61.23
2402,"CIGARS, CHEROOTS, CIGARILLOS AND          CIGARETTES, OF TOBACCO OR OF TOBACCO      SUBSTITUTES",123.23,43.34,9.42,4.31,61.21
8546,ELECTRICAL INSULATORS OF ANY MATERIAL,194.54,46.85,10.08,9.78,61.11
3801,ARTFCL GRPHT,214.99,292.01,40.71,109.43,61.02
5208,WOVN FBRCS OF COTON CONTNG>=85% BY WT OF  COTON WEGHNG NT MORE THN 200 G/M2,1246.89,-6.02,-1.54,5.00,60.97
2918,CRBOXYLC ACDS WTH ADDTNL OXYGN FNCTN      ANHYDRDS HALDS PEROXIDES AND PEROXYACSDS    THRHALGNTD SLPHNTD NITRTD/NITRSTD,707.50,13.08,3.12,9.79,60.95
8607,PRTS OF RLWAY/TRMWAY LCMTVS/ROLLNG,180.83,164.76,27.56,25.68,60.76
8426,"DERRICKS;CRNS,INCL CABLE CRNS;MOBL LFTNG  FRMS,STRDL CRRS AND WRKS TRCKS FTD WTH A CRN",119.21,45.42,9.81,5.26,60.73
0306,"CRSTCN, CRSTCN CKD BY STMNG/BLNG WTR, W/N SHL,LIVE,FRSH,CHLD,FRZN,DRD,SLTD/IN BRINE;SMKD CRSTCN,W/N SHL,W/N CKD IN SMKNG",5078.89,-4.49,-1.14,8.54,60.69
2713,PETROLM COKE PETROLM BITUMN AND OTHR RESDUS OF PETRLM OILS/OILS OBTND FRM BITMNS MNRLS,325.94,54.41,11.47,21.46,60.68
2942,OTHER ORGANIC COMPOUNDS,1244.85,-3.52,-0.89,6.09,60.56
6208,"WOMENS OR GIRLS SINGLETS AND OTHER      VESTS, SLIPS, PETTICOATS, BRIEFS, PANTIES, NIGHTDRESSES, PYJAMAS, NEGLIGES, BA",233.11,30.89,6.96,7.36,60.46
7317,"NAILS, TACKS, DRAWING PINS, CORRUGATED    NAILS,",112.47,41.65,9.09,3.34,60.31
3305,PREPARATIONS FOR USE ON THE HAIR,209.99,25.73,5.89,5.78,60.18
9014,DIRECTION FINDING COMPASSES; OTHER        NAVIGATIONAL INSTRUMENTS AND APPLIANCES,166.94,210.86,32.78,29.26,60.13
8487,"MACHINES PARTS, NOT CONTAINING ELECTRICAL CONNECTORS, INSULATORS, COILS, CONTACTS OR OTHER ELECTRICAL FEATURES, NOT SPEC",213.52,47.12,10.13,12.35,60.12
8424,MCHNCL APPLNCS (W/N HND,173.11,45.40,9.81,9.22,60.11
2827,"CHLRDES,CHLRDE OXIDES AND CHLRDE HYDROXIDES;BRMDES AND BRMDE OXDS;IODIDS AND IODIDE OXIDES",340.80,35.56,7.90,14.22,59.98
2825,"HYDRAZINE AND HYDROXYLAMINE AND THEIR     INORGANIC SALTS; OTHER INORGANIC BASES;   OTHER METAL OXIDES, HYDROXIDES AND P",141.06,287.41,40.30,25.34,59.96
6109,T,2369.47,-3.97,-1.01,8.77,59.84
5305,"COCONUT,ABACA,RAMIE AND OTHR VGTBL TXTL     FBRS N.E.S.OR INCLUDED,RAW OR PRCSSD,     TOW,NOILS AND WASTE OF THESE FIBRS",607.54,39.02,8.58,37.29,59.71
9405,LUMINAIRES AND LIGHTING FTTNGS INCL SEARCH LIGHT AND SPOTLIGHT ETC N.E.S.ILLUMINATD SIGN AND THE LIKE WTH PRMNANT LGHT SORC,315.56,16.46,3.88,6.36,59.68
